timestamp,open,high,low,close
2024-08-08,,,,
2024-08-09,,,,
2024-08-10,,,,
2024-08-11,,,,
2024-08-12,,,,
2024-08-13,,,,
2024-08-14,,,,
2024-08-15,,,,
2024-08-16,,,,
2024-08-17,,,,
2024-08-18,,,,
2024-08-19,2883.53,2883.53,2824.26,2867.57
2024-08-20,2910.7,2936.12,2813.91,2818.13
2024-08-21,2824.6,2897.91,2808.14,2882.52
2024-08-22,2883.3,2894.61,2840.49,2873.83
2024-08-23,2892.42,3044.6,2886.82,3026.56
2024-08-24,3029.53,3078.39,3007.61,3020.18
2024-08-25,3019.8,3044.63,3003.67,3009.21
2024-08-26,3017.29,3017.29,2938.51,2938.51
2024-08-27,2935.1,2956.08,2690.4,2693.31
2024-08-28,2676.15,2780.0,2672.2,2767.34
2024-08-29,2772.78,2824.59,2763.36,2767.02
2024-08-30,2767.3,2777.72,2683.15,2768.96
2024-08-31,2767.05,2769.35,2735.49,2751.35
2024-09-01,2748.83,2748.83,2658.33,2660.22
2024-09-02,2669.66,2777.66,2669.18,2777.66
2024-09-03,2775.95,2776.87,2659.16,2659.16
2024-09-04,2643.33,2712.72,2588.42,2681.17
2024-09-05,2686.9,2693.65,2580.25,2591.85
2024-09-06,2593.1,2629.15,2376.78,2426.25
2024-09-07,2441.71,2520.62,2428.03,2487.3
2024-09-08,2486.25,2519.26,2461.21,2513.11
2024-09-09,2515.11,2598.8,2497.54,2583.1
2024-09-10,2576.05,2612.68,2551.18,2612.06
2024-09-11,2602.93,2602.93,2514.67,2565.7
2024-09-12,2578.85,2609.55,2570.54,2597.52
2024-09-13,2593.92,2711.17,2582.91,2710.29
2024-09-14,2703.89,2704.37,2671.88,2681.99
2024-09-15,2683.01,2695.66,2577.64,2642.26
2024-09-16,2520.67,2616.23,2477.7,2601.87
2024-09-17,2498.88,2729.19,2491.19,2569.27
2024-09-18,2690.53,2690.53,2519.02,2594.6
2024-09-19,2616.79,2715.03,2616.79,2701.47
2024-09-20,2687.16,2808.12,2687.16,2801.81
2024-09-21,2814.65,2864.76,2774.35,2864.76
2024-09-22,2860.5,2860.5,2788.55,2823.92
2024-09-23,2841.43,2935.83,2841.43,2897.76
2024-09-24,2880.05,2924.83,2863.22,2909.76
2024-09-25,2902.08,2912.53,2816.44,2825.51
2024-09-26,2810.81,2910.23,2810.81,2881.97
2024-09-27,2888.14,2976.63,2869.19,2952.64
2024-09-28,2953.76,2958.04,2914.24,2935.55
2024-09-29,2924.49,2932.17,2897.94,2912.33
2024-09-30,2883.1,2896.13,2823.92,2847.03
2024-10-01,2870.32,2904.49,2664.57,2677.22
2024-10-02,2687.52,2725.14,2591.76,2591.76
2024-10-03,2597.03,2628.34,2547.86,2577.53
2024-10-04,2569.16,2669.8,2569.16,2649.52
2024-10-05,2653.81,2661.5,2626.01,2653.21
2024-10-06,2644.85,2690.16,2644.85,2679.38
2024-10-07,2730.8,2752.89,2662.91,2663.05
2024-10-08,2672.74,2696.5,2658.23,2682.12
2024-10-09,2676.36,2706.85,2600.86,2602.51
2024-10-10,2614.5,2642.33,2581.83,2617.32
2024-10-11,2619.76,2703.29,2619.76,2675.3
2024-10-12,2683.98,2734.64,2677.76,2723.2
2024-10-13,2722.52,2722.52,2684.99,2713.68
2024-10-14,2699.1,2896.01,2697.11,2889.42
2024-10-15,2884.76,2915.72,2830.5,2860.0
2024-10-16,2857.73,2893.09,2857.73,2869.97
2024-10-17,2879.36,2902.88,2847.28,2862.27
2024-10-18,2855.75,2930.5,2855.75,2906.83
2024-10-19,2901.92,2914.77,2895.55,2909.39
2024-10-20,2902.83,3021.53,2895.21,3019.03
2024-10-21,3012.26,3013.73,2932.27,2932.27
2024-10-22,2900.63,2918.45,2869.91,2879.99
2024-10-23,2874.76,2884.79,2742.86,2769.9
2024-10-24,2790.35,2810.05,2766.99,2788.98
2024-10-25,2778.9,2799.32,2714.34,2714.72
2024-10-26,2684.95,2747.78,2683.99,2732.13
2024-10-27,2724.62,2768.51,2714.27,2759.23
2024-10-28,2751.38,2822.76,2725.83,2822.76
2024-10-29,2823.37,2929.83,2823.37,2902.85
2024-10-30,2884.95,2983.41,2881.18,2918.35
2024-10-31,2925.0,2932.38,2759.33,2761.24
2024-11-01,2758.06,2810.06,2738.22,2753.89
2024-11-02,2757.98,2757.98,2724.94,2733.09
2024-11-03,2732.56,2732.56,2665.86,2697.43
2024-11-04,2692.0,2721.46,2636.68,2636.68
2024-11-05,2647.27,2724.07,2638.03,2681.16
2024-11-06,2729.41,2999.47,2729.41,2999.47
2024-11-07,2977.45,3183.51,2977.45,3179.02
2024-11-08,3208.17,3263.04,3191.37,3262.62
2024-11-09,3264.03,3457.18,3264.03,3457.18
2024-11-10,3456.6,3563.6,3424.65,3505.95
2024-11-11,3509.32,3701.7,3446.51,3701.7
2024-11-12,3703.57,3734.62,3562.63,3574.72
2024-11-13,3579.43,3681.0,3446.54,3563.68
2024-11-14,3520.16,3551.19,3368.85,3368.85
2024-11-15,3393.98,3421.12,3315.76,3413.43
2024-11-16,3402.41,3519.04,3402.41,3452.22
2024-11-17,3474.76,3479.05,3374.04,3387.72
2024-11-18,3427.37,3509.31,3339.14,3509.31
2024-11-19,3495.38,3495.38,3401.7,3407.65
2024-11-20,3425.95,3425.95,3418.85,3418.85
